word	morph_text	prediction	target
poradit	rad	['ces']	['gmh']
mm	mm	['fra', 'lat']	['fra', 'lat', 'ell']
Automatické	ic	['ces']	['lat']
Cílem	Cíl	['deu']	['gmh']
pronikání	pro	['ces']	['lat']
amerických	americ	['ces']	['ita']
amerických	americ	['ces']	['ita']
manažerů	er	['ces']	['lat']
kontaktu	kon	['lat']	['deu', 'lat']
kontaktu	takt	['lat']	['deu', 'lat']
konfekční	kon	['ces']	['lat']
kvalitně	kval	['lat']	['deu', 'lat']
kvalitně	it	['ces']	['lat']
průmyslu	mysl	['rus']	['ces']
technické	techn	['deu', 'fra', 'ell']	['deu', 'fra', 'lat', 'ell']
technické	ic	['ces']	['lat']
organizace	iz	['deu', 'fra', 'lat']	['fra', 'lat', 'ell']
Frederick	Frederick	['ces']	['deu', 'lat']
group	group	['eng', 'lat']	['fra', 'ita', 'lat']
fotbalové	bal	['eng', 'deu']	['eng']
kanceláři	kancelář	['lat']	['deu', 'lat']
Kontakt	Kon	['lat']	['deu', 'lat']
Kontakt	takt	['deu', 'fra', 'lat']	['deu', 'lat']
Publishing	Publish	['lat']	['eng', 'fra', 'lat']
pan	pan	['dsb']	['ces']
Halbich	Halb	['ces']	['deu']
Halbich	ich	['ces']	['deu']
Investiční	vest	['deu', 'fra', 'ita', 'lat']	['lat']
Investiční	ič	['ces']	['lat']
bance	banc	['ita', 'gem']	['ita', 'deu']
Investiční	vest	['deu', 'fra', 'ita', 'lat']	['lat']
Investiční	ič	['ces']	['lat']
banka	bank	['ita', 'gem']	['ita', 'deu']
nemovitost	movit	['ces']	['lat']
profitu	pro	['ces']	['lat']
profitu	fit	['deu', 'fra', 'fro', 'lat']	['deu', 'fra', 'lat']
konkurenci	enc	['ces']	['lat']
organizace	iz	['deu', 'fra', 'lat']	['fra', 'lat', 'ell']
psychologicky	psych	['ces']	['fra', 'lat', 'ell']
psychologicky	o	['ces']	['ell']
psychologicky	log	['ces']	['ell']
psychologicky	ick	['ces']	['fra', 'lat']
psychologické	psych	['ell']	['fra', 'lat', 'ell']
psychologické	o	['ces']	['ell']
psychologické	ick	['ces']	['fra', 'lat']
projednávání	pro	['ces']	['lat']
psychologických	psych	['ell']	['fra', 'lat', 'ell']
psychologických	o	['ces']	['ell']
psychologických	ick	['ces']	['fra', 'lat']
kritizují	iz	['deu', 'lat', 'ell']	['fra', 'lat', 'ell']
kritizují	uj	['deu', 'lat', 'ell']	['ces']
rozčilují	čil	['ces']	['pol']
pracantem	ant	['ces']	['lat']
kvalitativní	kval	['lat']	['deu', 'lat']
kvalitativní	it	['ces']	['deu', 'lat']
kvalitativní	at	['ces']	['deu', 'lat']
kvalitativní	iv	['ces']	['deu', 'lat']
Resyl	Resyl	['ces']	['eng']
nejefektivnější	iv	['ces']	['lat']
